pashartian;Pashartian;;;;;;;;;x;;;
pasharti;Pasharti;;;;;;;;;x;;;
pasharti_desc;The result of dark experimentation by the Jeferians - the former owners of the planet Taralon - the Pashartians are the ultimate parasites. Originally a semi-sapient creature dwelling in the depths of Taralon's mountains, the Jeferians uplifted and augmented them to act as a subservient slave race. However, their uplifting was rather too effective, and they unleashed a monster. Horrified at the capabilities of their creation - which included the ability to absorb other sentient species and turn them into Pashartians - the Jeferians tried to shut down the experiment. However, a small group of uplifted Pashartians escaped. Over the years, they bided their time, managing not only to evade capture, but also gradually increase their numbers and develop a technological base to rival the Jeferians. Eventually, the Jeferians noticed that something was amiss, but by then they were powerless to resist. Soon the Pashartians had seized control of the planet, unleashing violent pogroms on their erstwhile oppressors - all the while further increasing their numbers. Now poised to take to the stars, the Pashartians stand ready to pursue what they see as their solemn duty - the conversion of all lesser life forms to their likeness.;;;;;;;;;x;;;
e_pasharti;Pasharti Absorbers;;;;;;;;;x;;;
e_pasharti_adj;Pasharti;;;;;;;;;x;;;
pasharti_government_emperor;Dreadlord;;;;;;;;;x;;;
pasharti_government_emperor_female;Dreadlady;;;;;;;;;x;;;
pasharti_government_emperor_title_ruler_consort;Dreadlady;;;;;;;;;;;;;
pasharti_government_emperor_title_ruler_consort_female;Dreadlord;;;;;;;;;;;;;
pashartist;Pashartist;;;;;;;;;x;;;
pashartist_DESC;The result of dark experimentation by the Jeferians - the former owners of the planet Taralon - the Pashartians are the ultimate parasites. Originally a semi-sapient creature dwelling in the depths of Taralon's mountains, the Jeferians uplifted and augmented them to act as a subservient slave race. However, their uplifting was rather too effective, and they unleashed a monster. Horrified at the capabilities of their creation - which included the ability to absorb other sentient species and turn them into Pashartians - the Jeferians tried to shut down the experiment. However, a small group of uplifted Pashartians escaped. Over the years, they bided their time, managing not only to evade capture, but also gradually increase their numbers and develop a technological base to rival the Jeferians. Eventually, the Jeferians noticed that something was amiss, but by then they were powerless to resist. Soon the Pashartians had seized control of the planet, unleashing violent pogroms on their erstwhile oppressors - all the while further increasing their numbers. Now poised to take to the stars, the Pashartians stand ready to pursue what they see as their solemn duty - the conversion of all lesser life forms to their likeness.;;;;;;;;;x;;;
pashartist_FEATURES;§Y*§! Characters and provinces of this religion are more resistant to disease due to them having a better understanding of hygiene. \n§Y*§! This religion believes in equality of the sexes.;;;;;;;;;;;;;;;;;;
pasharti_government;Dreadlordship;;;;;;;;;x;;;
pasharti_government_desc;Being Fanatic Xenophobes, the Pashartians prioritize their own race above everything else. The Pasharti government differs from Earth's feudalism in the regard that it prioritizes a more elective system of Monarchy.;;;;;;;;;x;;;
