d_dien_bien;Dien Bien;;;;;;;;;x;;;;;;;
d_dien_bien_adj;Dien Bien;;;;;;;;;x;;;;;;;
d_lao_cai;Lao Cai;;;;;;;;;x;;;;;;;
d_lao_cai_adj;Lao Cai;;;;;;;;;x;;;;;;;
d_hanoi;Hanoi;;;;;;;;;x;;;;;;;
d_hanoi_adj;Hanoi;;;;;;;;;x;;;;;;;
d_ha_giang;Ha Giang;;;;;;;;;x;;;;;;;
d_ha_giang_adj;Ha Giang;;;;;;;;;x;;;;;;;
d_caobang;Cao Bang;;;;;;;;;x;;;;;;;
d_caobang_adj;Cao Banger;;;;;;;;;x;;;;;;;
d_ca_mau;Ha Tien;;;;;;;;;x;;;;;;;
d_ca_mau_adj;Ha Tien;;;;;;;;;x;;;;;;;
d_an_giang;An Giang;;;;;;;;;x;;;;;;;
d_an_giang_adj;An Giang;;;;;;;;;x;;;;;;;
d_binh_thuan;Binh Thuan;;;;;;;;;x;;;;;;;
d_binh_thuan_adj;Binh Thuanian;;;;;;;;;x;;;;;;;
d_vinh_long;Vinh Long;;;;;;;;;x;;;;;;;
d_vinh_long_adj;Vinh Longer;;;;;;;;;x;;;;;;;
d_saigon;Saigon;;;;;;;;;x;;;;;;;
d_saigon_adj;Saigon;;;;;;;;;x;;;;;;;
d_thua_thien;Thua Thien;;;;;;;;;x;;;;;;;
d_thua_thien_adj;Thua Thien;;;;;;;;;x;;;;;;;
d_binh_dinh;Binh Dinh;;;;;;;;;x;;;;;;;
d_binh_dinh_adj;Binh Dinh;;;;;;;;;x;;;;;;;
d_quang_nam;Quang Nam;;;;;;;;;x;;;;;;;
d_quang_nam_adj;Quang Nam;;;;;;;;;x;;;;;;;
k_degar;Kudayanagar;;;;;;;;;x;;;;;;;
k_degar_adj;Dagar;;;;;;;;;x;;;;;;;
k_champa;Champapura;;;;;;;;;x;;;;;;;
k_champa_adj;Cham;;;;;;;;;x;;;;;;;

#Cao Dai
GRAND_CENSURE;Grand Censure;;;;;;;;;;;;;x

GIAO_TONG;Giao-Tong;;;;;;;;;;;;;x

THE_HIGH_COUNCIL;The High Council;;;;;;;;;;;;;x



STAT_PIETY_DEVOTION;Devotion;;;;;;;;;;;;;x

STAT_PIETY_MENU_DEVOTION;Devotion;;;;;;;;;;;;;x

STAT_PIETY_DESC_DEVOTION;Devotion is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x



title_caodai_cardinal;Cardinal;;;;;;;;;;;;;x

CAO_DAI_PRIEST;Thay tu;;;;;;;;;;;;;x

HEAD_CAODAI;Giao-Tong;;;;;;;;;;;;;x

HIEP_THIEN_DAI;Hiep Thien Dai;;;;;;;;;;;;;x

expected_next_title_caodai_cardinal;Expected Next Giao-Tong;;;;;;;;;;;;;x

expected_next_title_caodai_cardinal_tooltip;Your Best Giao-Tong Candidate;;;;;;;;;;;;;x

best_candidate_title_caodai_cardinal;My Best Giao-Tong Candidate;Mon meilleur candidat cardinal;Mein bester Kardinalskandidat;;Mi mejor candidato a Cardenal;;;;;;;;;;
best_candidate_title_caodai_cardinal_tooltip;Of all the censure in my realm, this one is the likeliest to get appointed Giao-Tong by the [caodai.RelHead.GetName].;;;;;;;;;;;;;;



d_cao_dai;Cuu Trung Dai;;;;;;;;;;;;;x

d_cao_dai_adj;Giao-Tong Kinh;;;;;;;;;;;;;x

empire_of_chamic;Samrajya;;;;;;;;;;;;;x
emperor_chamic;Potanaraya;;;;;;;;;;;;;x
emperor_female_chamic;Potanaraya;;;;;;;;;;;;;x
kingdom_of_chamic;Nagara;;;;;;;;;;;;;x
king_chamic;Maharajadiraja;;;;;;;;;;;;;x
king_female_chamic;Maharajadiraja;;;;;;;;;;;;;x
duchy_of_chamic;Principality of;;;;;;;;;;;;;x
duke_chamic;Maharaja;;;;;;;;;;;;;x
duke_female_chamic;Maharaja;;;;;;;;;;;;;x
count_chamic;Raja;;;;;;;;;;;;;x
count_female_chamic;Raja;;;;;;;;;;;;;x
chamic;Chamic;;;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x

empire_of_tai;Phen-Din;;;;;;;;;;;;;x
emperor_tai;Chau Phen Din;;;;;;;;;;;;;x
emperor_female_tai;Chau Fa Ying;;;;;;;;;;;;;x
kingdom_of_tai;Principality of;;;;;;;;;;;;;x
king_tai;Chau Lum Fa;;;;;;;;;;;;;x
king_female_tai;Chau Lum Fa;;;;;;;;;;;;;x
duchy_of_tai;State of;;;;;;;;;;;;;x
duke_tai;Chau Fa;;;;;;;;;;;;;x
duke_female_tai;Chau Nang;;;;;;;;;;;;;x
count_tai;Chau Muong;;;;;;;;;;;;;x
count_female_tai;Chau Muong;;;;;;;;;;;;;x

thuyhoa_pagan;Thuy Hoa;;;;;;;;;;;;;x
thuyhoa_pagan_DESC;Thuy Hoa is a shamanistic religion that traces its origins back to the powerful elemental kings of the Cham. The followers of this faith venerate the elements of flame and water personified - the mediums Sdet Fai and Sdet Nam. The mediums' families have held sway over the Annamese highlands for millennia, claiming to have once held all of Asia under their sway. Nowadays, the Thuy Hoa find themselves besieged by the powerful Buddhist empires surrounding them, and only time will tell if they can rule the continent once more, or die trying.;;;;;;;;;;;;;x
thuyhoa_pagan_reformed;Thuy Hoa;;;;;;;;;;;;;x
thuyhoa_pagan_reformed_DESC;Thuy Hoa is a shamanistic religion that traces its origins back to the powerful elemental kings of the Cham. The followers of this faith venerate the elements of flame and water personified - the mediums Sdet Fai and Sdet Nam. The mediums' families have held sway over the Annamese highlands for millennia, claiming to have once held all of Asia under their sway. Nowadays, the Thuy Hoa find themselves besieged by the powerful Buddhist empires surrounding them, but their recent reformation prove that there is a future for them yet.;;;;;;;;;;;;;x
GOD_XA;Heavenly Xa;;;;;;;;;;;;;x
GOD_SDET_FAI;Sdet Fai;;;;;;;;;;;;;x
GOD_SDET_NAM;Sdet Nam;;;;;;;;;;;;;x
PUTAO;Putao;;;;;;;;;;;;;x
d_thuyhoa_pagan_reformed;The Heavenly Samdet;;;;;;;;;;;;;x
d_thuyhoa_pagan_reformed_adj;The Heavenly Samdet;;;;;;;;;;;;;x
SDET;Maha Sdet;;;;;;;;;;;;;x
d_satsana_pi_pagan_reformed;Phya Thaen's Court;;;;;;;;;;;;;x
d_satsana_pi_pagan_reformed_adj;Thaen's Court;;;;;;;;;;;;;x
MOPI;Mo-Pi;;;;;;;;;;;;;x
SOMDET_PHI;Somdet Pi;;;;;;;;;;;;;x
GOD_PI_THAEN;Pi Thaen;;;;;;;;;;;;;x
GOD_PI_MOUNG;Moung's Guardians;;;;;;;;;;;;;x
GOD_PI_FA;Pi Fa;;;;;;;;;;;;;x
satsana_pi_pagan;Satsana Pi;;;;;;;;;;;;;x
satsana_pi_pagan_DESC;Satsana Pi was once a spiritualist faith collectively practiced by the Tai, the people who graze the fertile yet backward plains of Northwestern Vietnam. They once venerated more benign spirits and kept their practice behind closed doors, having been abused by many overlords over the course of history, be it disrespecting their spirits, enslaving their shamans or the destruction of entire villages. The most despicable crime they committed, however, was the murder of Lord Thaen's consort, the Goddess of Rice, Mae Khwan Khao, causing the unspeakable calamity that shook the earth and destroyed the realm of their oppressors. The radical elements of the faith took this chance to raise dissent among the rest of the Tai, having been inspired by their more prosperous brethren in the south and communion from Lord Thaen who supposedly called for the blood of the people who murdered his consort. Time will tell if this demand will be realised or if the Tai will revert to their more pacifistic nature again.;;;;;;;;;;;;;x
satsana_pi_pagan_reformed;Cult of Thaen;;;;;;;;;;;;;x
satsana_pi_pagan_reformed_DESC;Satsana Pi was once a spiritualist faith collectively practiced by the Tai, the people who graze the fertile yet backward plains of Northwestern Vietnam. They once venerated more benign spirits and kept their practice behind closed doors, having been abused by many overlords over the course of history, be it disrespecting their spirits, enslaving their shamans or the destruction of entire villages. The most despicable crime they committed, however, was the murder of Lord Thaen's consort, the Goddess of Rice, Mae Khwan Khao, causing the unspeakable calamity that shook the earth and destroyed the realm of their oppressors. The radical elements of the faith took this chance to raise dissent among the rest of the Tai, having been inspired by their more prosperous brethren in the south and communion from Lord Thaen who supposedly called for the blood of the people who murdered his consort. Time will tell if this demand will be realised or if the Tai will revert to their more pacifistic nature again.;;;;;;;;;;;;;x
