guillotine_master_1;Montagnard;;;;;;;x
guillotine_master_1_desc;This character always tries to do the work which Montagnards did before the Event.;;;;;;;x
guillotine_master_2;Robespierrist;;;;;;;x
guillotine_master_2_desc;This character is one of the most zealous followers of the Prophet, and acts like him in the most pious ways possible.;;;;;;;x
guillotine_master_3;Model Citizen;;;;;;;x
guillotine_master_3_desc;Due to his strict following of Madame Guillotine's will, this character is truely a model to all of her believers and probably would have been to all the citizen of the Republic before the Event.;;;;;;;x
madame_wants_strong;Madame Guillotine Desires The Strong;;;;;;;x
madame_wants_weak;Madame Guillotine Desires The Weak;;;;;;;x
madame_wants_smart;Madame Guillotine Desires The Smart;;;;;;;x
madame_wants_dumb;Madame Guillotine Desires The Dumb;;;;;;;x
madame_wants_virtue;Madame Guillotine Desires The Virtuous;;;;;;;x
madame_wants_vice;Madame Guillotine Desires The Vicious;;;;;;;x
madame_wants_attractive;Madame Guillotine Desires The Attractive;;;;;;;x
madame_wants_unattractive;Madame Guillotine Desires The Unattractive;;;;;;;x
madame_wants_diplomacy;Madame Guillotine Desires The Diplomats;;;;;;;x
madame_wants_martial;Madame Guillotine Desires The Soldiers;;;;;;;x
madame_wants_learning;Madame Guillotine Desires The Scholars;;;;;;;x
madame_wants_intrigue;Madame Guillotine Desires The Spies;;;;;;;x
madame_wants_stewardship;Madame Guillotine Desires The Stewards;;;;;;;x
madame_wants_young;Madame Guillotine Desires The Young;;;;;;;x
madame_wants_old;Madame Guillotine Desires The Old;;;;;;;x
madame_wants_christian;Madame Guillotine Desires The Christians;;;;;;;x
madame_wants_esoteric;Madame Guillotine Desires The Esoteric Believers;;;;;;;x
madame_wants_pagan_group;Madame Guillotine Desires The Pagans;;;;;;;x
madame_wants_jewish_group;Madame Guillotine Desires The Jews;;;;;;;x
madame_wants_oceanic;Madame Guillotine Desires The Pirates;;;;;;;x
madame_wants_muslim;Madame Guillotine Desires The Muslims;;;;;;;x
madame_wants_indian_group;Madame Guillotine Desires The Indians;;;;;;;x
madame_wants_buddhist_group;Madame Guillotine Desires The Buddhists;;;;;;;x
madame_wants_zoroastrian_group;Madame Guillotine Desires The Zoroastrians;;;;;;;x
madame_wants_communist;Madame Guillotine Desires The Red Cultists;;;;;;;x
madame_wants_zarist;Madame Guillotine Desires The Tsarists;;;;;;;x
madame_wants_nobelian;Madame Guillotine Desires The Nobelians;;;;;;;x
madame_wants_ironist;Madame Guillotine Desires The Ironists;;;;;;;x
madame_wants_khanist;Madame Guillotine Desires The Khanists;;;;;;;x
blind;Blind;;;;;;;x
blind_desc;This character has been blind from the moment of their birth;;;;;;;x
madame_wants_jacobinist;Madame Guillotine Desires The Jacobinists;;;;;;;x
madame_wants_female;Madame Guillotine Desires The Women;;;;;;;x
madame_wants_male;Madame Guillotine Desires The Men;;;;;;;x
raider;Raider;;;;;;;x
raider_desc;This character is leading a raid against foreign lands;;;;;;;x
history_266611108;§BHistory & Context:§!;;;;;;;;x
history_26664235;§BHistory & Context:§!;;;;;;;;x
history_26670023;§BHistory & Context:§!;;;;;;;;x
history_26674333;§BHistory & Context:§!;;;;;;;;x
history_22660079;§BHistory & Context:§!;;;;;;;;x
history_26667146;§BHistory & Context:§!;;;;;;;;x
history_77667152;§BHistory & Context:§!;;;;;;;;x
history_266730000;§BHistory & Context:§!;;;;;;;;x
history_26664200;§BHistory & Context:§!;;;;;;;;x
history_26661606;§BHistory & Context:§!;;;;;;;;x
history_26662003;§BHistory & Context:§!;;;;;;;;x
history_26664106;§BHistory & Context:§!;;;;;;;;x
history_26664127;§BHistory & Context:§!;;;;;;;;x
history_30000441;§BHistory & Context:§!;;;;;;;;x
history_26664027;§BHistory & Context:§!;;;;;;;;x
history_26661504;§BHistory & Context:§!;;;;;;;;x
history_16674380;§BHistory & Context:§!;;;;;;;;x
history_26674291;§BHistory & Context:§!;;;;;;;;x
history_26661704;§BHistory & Context:§!;;;;;;;;x
history_26669000;§BHistory & Context:§!;;;;;;;;x
history_26664016;§BHistory & Context:§!;;;;;;;;x
history_26664006;§BHistory & Context:§!;;;;;;;;x
history_26661100;§BHistory & Context:§!;;;;;;;;x
history_4000000;§BHistory & Context:§!;;;;;;;;x
history_27780001;§BHistory & Context:§!;;;;;;;;x
history_26650554;§BHistory & Context:§!;;;;;;;;x
history_45000053;§BHistory & Context:§!;;;;;;;;x
history_26667104;§BHistory & Context:§!;;;;;;;;x
history_26660163;§BHistory & Context:§!;;;;;;;;x
history_26660170;§BHistory & Context:§!;;;;;;;;x
history_266611108_desc;§YThree years ago, at the order of Lord Protector Frydyryk II, a large expedition of nearly eight thousand men led by James Crhowhill was launched from London with two objectives: To land in Gibraltar and dissuade any thoughts Andalusia and Al-Maghrib might have about claiming the port, and to re-establish control of Egypt. The reason for Egypt is threefold- It is a holy land to the Thelemic faiths, the Suez Canal is one of the most valuable waterways in the world, and Egypt was once a part of historical Britannia (Once long before the Event, and again in the early 2300s). After landing in Port Said, the goals of the Second Expedition in Egypt are in reach. But now Brytannya deals with the aftermath of the Irish Rebellion, and the Second Expediton cannot rely on support from the Crown. While the port is a strong foothold, James Crhowhill and his forces find themselves far from home and surrounded by enemies. But their faith is true, and their resolve is iron.§!;;;;;;;;x
