world_thailand;Siam;;;;;;;;;x;;;;;;;
world_laos;Lao;;;;;;;;;x;;;;;;;
world_cambodia;Kampuchea;;;;;;;;;x;;;;;;;
world_malaysia;Malayu;;;;;;;;;x;;;;;;;
world_sumatra;Sumatra;;;;;;;;;x;;;;;;;
world_vietnam;Vietnam;;;;;;;;;x;;;;;;;
world_indonesia;Indonesia;;;;;;;;;x;;;;;;;
world_myannmar;Burmar;;;;;;;;;x;;;;;;;
world_phillipines;Phillipines;;;;;;;;;x;;;;;;;
world_southeast_asia;Southeast Asia;;;;;;;;;x;;;;;;;
world_north_japan;North Japan;;;;;;;;;x;;;;;;;
world_south_japan;South Japan;;;;;;;;;x;;;;;;;
world_ryukyu;Ryukyu;;;;;;;;;x;;;;;;;
world_japan;Japan;;;;;;;;;x;;;;;;;
world_korea;Korea;;;;;;;;;x;;;;;;;
world_taiwan;Taiwan;;;;;;;;;x;;;;;;;
world_north_han;North Han;;;;;;;;;x;;;;;;;
world_south_han;South Han;;;;;;;;;x;;;;;;;
world_han;Han;;;;;;;;;x;;;;;;;
world_minyue;Minyue;;;;;;;;;x;;;;;;;
world_yangtze;Yangtze;;;;;;;;;x;;;;;;;
world_zhujiang;Zhujiang;;;;;;;;;x;;;;;;;
world_qin;Qin;;;;;;;;;x;;;;;;;
world_manchuria;Manchuria;;;;;;;;;x;;;;;;;
world_china;China;;;;;;;;;x;;;;;;;
world_east_asia;East Asia;;;;;;;;;x;;;;;;;
world_asia;Asia;;;;;;;;;x;;;;;;;
