#Bhutanese titles;;;;;;;;;;;;;;
bhutanese_decayed_baron;Dzongpon;;;;;;;;;;;;;x
bhutanese_decayed_baron_female;Dzongpon;;;;;;;;;;;;;x
bhutanese_decayed_count;Dungpa;;;;;;;;;;;;;x
bhutanese_decayed_count_female;Dungpa;;;;;;;;;;;;;x
bhutanese_decayed_duke;Dzongdag;;;;;;;;;;;;;x
bhutanese_decayed_duke_female;Dzongdag;;;;;;;;;;;;;x
bhutanese_decayed_king;Penlop;;;;;;;;;;;;;x
bhutanese_decayed_king_female;Penlop;;;;;;;;;;;;;x
bhutanese_decayed_emperor_title_consort;Druk Gyalpo;;;;;;;;;;;;;x
bhutanese_decayed_emperor_title_consort_female;Druk Gyalpo;;;;;;;;;;;;;x
bhutanese_decayed_title_prince;Dasho Khesar;;;;;;;;;;;;x
bhutanese_decayed_title_prince_female;Ashi;;;;;;;;;;;;;x
bhutanese_decayed_barony_of;Dzong of;;;;;;;;;;;;;x
bhutanese_decayed_county_of;Dzongkhag of;;;;;;;;;;;;;x
bhutanese_decayed_duchy_of;Dzongdey of;;;;;;;;;;;;;x
bhutanese_decayed_kingdom_of;Yul of;;;;;;;;;;;;;x
#Bhutanese restored titles;;;;;;;;;;;;;;
bhutanese_restored_baron;Dzongpon;;;;;;;;;;;;;x
bhutanese_restored_baron_female;Dzongpon;;;;;;;;;;;;;x
bhutanese_restored_count;Dungpa;;;;;;;;;;;;;x
bhutanese_restored_count_female;Dungpa;;;;;;;;;;;;;x
bhutanese_restored_duke;Dzongdag;;;;;;;;;;;;;x
bhutanese_restored_duke_female;Dzongdag;;;;;;;;;;;;;x
bhutanese_restored_king;Penlop;;;;;;;;;;;;;x
bhutanese_restored_king_female;Penlop;;;;;;;;;;;;;x
bhutanese_restored_emperor_title_consort;Druk Gyalpo;;;;;;;;;;;;;x
bhutanese_restored_emperor_title_consort_female;Druk Gyalpo;;;;;;;;;;;;;x
bhutanese_restored_title_prince;Dasho Khesar;;;;;;;;;;;;x
bhutanese_restored_title_prince_female;Ashi;;;;;;;;;;;;;x
bhutanese_restored_barony_of;Dzong of;;;;;;;;;;;;;x
bhutanese_restored_county_of;Dzongkhag of;;;;;;;;;;;;;x
bhutanese_restored_duchy_of;Dzongdey of;;;;;;;;;;;;;x
bhutanese_restored_kingdom_of;Yul of;;;;;;;;;;;;;x
GENERAL_FOA;General;;;;;;;;;;;;;x
GENERAL_WHO_SUBDUES_THE_NORTH;General Who Subdues the North;;;;;;;;;;;;;x
title_general_who_subdues_the_north;General Who Subdues the North;;;;;;;;;;;;;x
title_general_who_subdues_the_north_desc;This character leads the Army of the Tortoise meant to operate in Northern China.;;;;;;;;;;;;;x
GENERAL_WHO_SECURES_THE_WEST;General who Tames the West;;;;;;;;;;;;;x
title_general_who_secures_the_west;General who Tames the West;;;;;;;;;;;;;x
title_general_who_secures_the_west_desc;This character leads the Army of the Tiger meant to operate in Western China.;;;;;;;;;;;;;x
GENERAL_WHO_PATROLS_THE_EAST;General who Patrols the East;;;;;;;;;;;;;x
title_general_who_patrols_the_east;General who Patrols the East;;;;;;;;;;;;;x
title_general_who_patrols_the_east_desc;This character leads the Army of the Dragon meant to operate in Eastern China.;;;;;;;;;;;;;x
GENERAL_WHO_PACIFIES_THE_SOUTH;General who Pacifies the South;;;;;;;;;;;;;x
title_general_who_pacifies_the_south;General who Pacifies the South;;;;;;;;;;;;;x
title_general_who_pacifies_the_south_desc;This character leads the Army of the Phoenix meant to operate in Southern China.;;;;;;;;;;;;;x
GENERAL_WHO_STANDS_GUARD_OVER_THE_IMPERIAL_PALACE;General who Stands Guard over the Imperial Palace;;;;;;;;;;;;;x
title_general_who_stands_guard_over_the_imperial_palace;General who Stands Guard over the Imperial Palace;;;;;;;;;;;;;x
title_general_who_stands_guard_over_the_imperial_palace_desc;This character leads the Army of the Qilin meant to operate in Central China.;;;;;;;;;;;;;x
k_northern_army;Northern Army of the Tortoise;;;;;;;;;;;;;x
k_northern_army_adj;Tortoise;;;;;;;;;;;;;x
k_western_army;Western Army of the Tiger;;;;;;;;;;;;;x
k_western_army_adj;Tiger;;;;;;;;;;;;;x
k_eastern_army;Eastern Army of the Dragon;;;;;;;;;;;;;x
k_eastern_army_adj;Dragon;;;;;;;;;;;;;x
k_southern_army;Southern Army of the Phoenix;;;;;;;;;;;;;x
k_southern_army_adj;Phoenix;;;;;;;;;;;;;x
k_central_army;Central Army of the Qilin;;;;;;;;;;;;;x
k_central_army_adj;Qilin;;;;;;;;;;;;;x
organize_the_five_great_armies;Organise the Five great armies;;;;;;;;;;;;;x
