OFFMAP_PATRIACHS_PATRIARCH_POPE;The Pope;;;;;;;;x
OFFMAP_PATRIACHS_PATRIARCH_POPE_DESC;If the Pope owns Roma, this window will fill with its glass and Catholicism will get several minor bonuses;;;;;;;;x
OFFMAP_POPE;Papacy;;;;;;;;x
PATRIARCH_LIKES_LABEL;Patriarchs Favour;;;;;;;;x
PATRIARCH_DISLIKES_LABEL;Patriarchs Disfavour;;;;;;;;x
OFFMAP_PATRIACHS_PATRIARCH_CELTIC;The Celtic Patriarch;;;;;;;;x
OFFMAP_PATRIACHS_PATRIARCH_CELTIC_DESC;If the Celtic Patriarch owns Mellifont, this window will fill with its glass and Catholicism will get several minor bonuses;;;;;;;;x
OFFMAP_CELT_PATRIARCH;Celtic;;;;;;;;x
d_celtic_patriarch;Celtic Patriarchate;;;;;;;;x
d_celtic_patriarch_adj;Celtic;;;;;;;;x
likes_latin_rite;Latin Rite;;;;;;;;x
likes_celtic_rite;Celtic Rite;;;;;;;;x
likes_iberian_rite;Iberian Rite;;;;;;;;x
likes_maronite_rite;Maronite Rite;;;;;;;;x
likes_aremaic_rite;Aremaic Rite;;;;;;;;x
likes_alexandrian_rite;Alexandrian Rite;;;;;;;;x
likes_indian_rite;Indian Rite;;;;;;;;x
likes_armenian_rite;Armenian Rite;;;;;;;;x
likes_slavic_rite;Slavic Rite;;;;;;;;x
likes_byzantine_rite;Byzantine Rite;;;;;;;;x
d_iberian_patriarch;Iberian Patriarchate;;;;;;;;x
d_iberian_patriarch_adj;Iberian;;;;;;;;x
OFFMAP_PATRIACHS_PATRIARCH_IBERIAN;The Iberian Patriarch;;;;;;;;x
OFFMAP_PATRIACHS_PATRIARCH_IBERIAN_DESC;If the Iberian Patriarch owns Fatima, this window will fill with its glass and Catholicism will get several minor bonuses;;;;;;;;x
OFFMAP_IBERIAN_PATRIARCH;Iberian;;;;;;;;x
OFFMAP_DEVOTION_TOOLTIP;This is your current §Y[Root.GetCurrency]§! with the §YCatholic Patriarchs§!!;;;;;;;;;;;;;x
OFFMAP_DEVOTION_TOOLTIP_GAIN;Monthly gain:;;;;;;;;;;;;;x
OFFMAP_DEVOTION_TOOLTIP_DESC;[Root.GetCurrency] can be gained by giving relics, being a member of a favoured rite or being pious, and can be used to gain a variety of boons.;;;;;;;;;;;;;x
TXT_DEVOTION;Devotion;;;;;;;;;;;;;x

patriarchoffmap_likes_me;Likes [offmap_patriarchs.GetLike];;;;;;;;;;x
patriarchoffmap_dislikes_me;Dislikes [offmap_patriarchs.GetDisLike];;;;;;;;;;x
patriarchs_likes_THIS_tt;(§GThe Patriarchs Like [This.GetLike]§!);;;;;;;;;;x
patriarchs_dislikes_THIS_tt;(§RThe Patriarchs Dislike [This.GetDislike]§!);;;;;;;;;;x
patriarchs_has_ambiguous_feelings_of_THIS_tt;(§GThe Patriarchs Likes [This.GetLike]§! but §RDislikes [This.GetDislike]§!);;;;;;;;;;x
same_dynasty_iberian;Same Dynasty as Iberian Patriarch;;;;;;;;;;x
same_dynasty_celtic;Same Dynasty as Celtic Patriarch;;;;;;;;;;x
same_dynasty_byzantine;Same Dynasty as Byzantine Patriarch;;;;;;;;;;x
same_dynasty_jerusalem;Same Dynasty as Eastern Patriarch;;;;;;;;;;x
same_dynasty_pope;Same Dynasty as Pope;;;;;;;;;;x
at_war_with_church;At war with whole church;;;;;;;;;;x
at_war_with_celtic;At war with Celtic Patriarch;;;;;;;;;;x
at_war_with_iberian;At war with Iberian Patriarch;;;;;;;;;;x
at_war_with_byzantine;At war with Byzantine Patriarch;;;;;;;;;;x
at_war_with_jerusalem;At war with Eastern Patriarch;;;;;;;;;;x
patriarchs_like_me;Patriarchs like me;;;;;;;;;;x
pope_same_culture;Same culture as Pope;;;;;;;;;;x
pope_celtic_rite;Celtic Rite Pope;;;;;;;;;;x
pope_slavic_rite;Slavic Rite Pope;;;;;;;;;;x
pope_aremaic_rite;Aremaic Rite Pope;;;;;;;;;;x
pope_armenian_rite;Armenian Rite Pope;;;;;;;;;;x
pope_byzantine_rite;Byzantine Rite Pope;;;;;;;;;;x
pope_latin_rite;Latin Rite Pope;;;;;;;;;;x
pope_indian_rite;Indian Rite Pope;;;;;;;;;;x
pope_maronite_rite;Maronite Rite Pope;;;;;;;;;;x
pope_alexandrian_rite;Alexandrian Rite Pope;;;;;;;;;;x
patriarchs_patriarchs;Catholic Patriarchates;;;;;;;;;;;;;x
patriarchs_patriarchs_full;Catholic Patriarchates;;;;;;;;;;;;;x
TXT_PATRIARCHS;Catholic Patriarchates;;;;;;;;;;;;;x
learning_education_theologian_or_monk_tt;Learning Education, Theologian, or Monk;;;;;;;;;;;;;x
patriarch_raid_grace_cd;Hostile Cooldown;;;;;;;;;;;;;x
jd_patriarch_boon_cd;Boon Cooldown;;;;;;;;;;;;;x
patriarch_seize_church_relics_artifact;Seize Church Relics;;;;;;;;;;;;;x
patriarch_seize_church_relics_artifact_desc;Seize the relics of the Church under the authority of the Anti-pope;;;;;;;;;;;;;x
patriarch_replace_pope;Replace the Pope;;;;;;;;;;;;;x
patriarch_replace_pope_desc;With 3 of the holy sites under my control and my own substantial piety, the false Pope in Rome is forced ro accept the truth of my Pope;;;;;;;;;;;;;x
patriarch_seize_church_assets;Seize Church Assets;;;;;;;;;;;;;x
patriarch_seize_church_assets_desc;Seize the assets of the Church under the authority of the Anti-pope;;;;;;;;;;;;;x
church_assets_seized;Church Assets Seized;;;;;;;;;;;;;x
offmap_has_antipope;Has an Anti-pope;;;;;;;;;;;;;x
offmap_detached_priest;Detached Priest;;;;;;;;;;;;;x
offmap_martial_cleric;Dutiful Cleric;;;;;;;;;;;;;x
offmap_scholarly_theologian;Scholarly Theologian;;;;;;;;;;;;;x
offmap_mastermind_theologian;Mastermind Theologian;;;;;;;;;;;;;x
offmap_erudite_oracle;Erudite Oracle;;;;;;;;;;;;;x
offmap_crusader;Crusader;;;;;;;;;;;;;x
offmap_pilgrim;Pilgrim;;;;;;;;;;;;;x
