PROV2730;Yakushima;Yakushima;Yakushima;;;;;;;;;x
PROV2731;Kagoshima;Kagoshima;Kagoshima;;;;;;;;;x
PROV2732;Miyazaki;Miyazaki;Miyazaki;;;;;;;;;x
PROV2733;Kumamoto;Kumamoto;Kumamoto;;;;;;;;;x
PROV2734;Oita;Oita;Oita;;;;;;;;;x
PROV2735;Fukuoka;Fukuoka;Fukuoka;;;;;;;;;x
PROV2736;Saga;Saga;Saga;;;;;;;;;x
PROV2737;Nagasaki;Nagasaki;Nagasaki;;;;;;;;;x
PROV2738;Hirado;Hirado;Hirado;;;;;;;;;x
PROV2739;Shinkamigoto;Shinkamigoto;Shinkamigoto;;;;;;;;;x
PROV2740;Kochi;Kochi;Kochi;;;;;;;;;x
PROV2741;Ehime;Ehime;Ehime;;;;;;;;;x
PROV2742;Takamatsu;Takamatsu;Takamatsu;;;;;;;;;x
PROV2743;Tokushima;Tokushima;Tokushima;;;;;;;;;x
PROV2744;Sumoto;Sumoto;Sumoto;;;;;;;;;x
PROV2745;Nagato;Nagato;Nagato;;;;;;;;;x
PROV2746;Shunan;Shunan;Shunan;;;;;;;;;x
PROV2747;Hamada;Hamada;Hamada;;;;;;;;;x
PROV2748;Hiroshima;Hiroshima;Hiroshima;;;;;;;;;x
PROV2749;Mihara;Mihara;Mihara;;;;;;;;;x
PROV2750;Fukuyama;Fukuyama;Fukuyama;;;;;;;;;x
PROV2751;Okayama;Okayama;Okayama;;;;;;;;;x
PROV2752;Okinoshima;Okinoshima;Okinoshima;;;;;;;;;x
PROV2753;Matsue;Matsue;Matsue;;;;;;;;;x
PROV2754;Kurayoshi;Kurayoshi;Kurayoshi;;;;;;;;;x
PROV2755;Tottori;Tottori;Tottori;;;;;;;;;x
PROV2756;Himeji;Himeji;Himeji;;;;;;;;;x
PROV2757;Kobe;Kobe;Kobe;;;;;;;;;x
PROV2758;Fukuchiyama;Fukuchiyama;Fukuchiyama;;;;;;;;;x
PROV2759;Miyazu;Miyazu;Miyazu;;;;;;;;;x
PROV2760;Osaka;Osaka;Osaka;;;;;;;;;x
PROV2761;Tanabe;Tanabe;Tanabe;;;;;;;;;x
PROV2762;Owase;Owase;Owase;;;;;;;;;x
PROV2763;Matsusaka;Matsusaka;Matsusaka;;;;;;;;;x
PROV2764;Kyoto;Kyoto;Kyoto;;;;;;;;;x
PROV2765;Shiga;Shiga;Shiga;;;;;;;;;x
PROV2766;Iga;Iga;Iga;;;;;;;;;x
PROV2767;Tsuruga;Tsuruga;Tsuruga;;;;;;;;;x
PROV2768;Fukui;Fukui;Fukui;;;;;;;;;x
PROV2769;Ono;Ono;Ono;;;;;;;;;x
PROV2770;Nagoya;Nagoya;Nagoya;;;;;;;;;x
PROV2771;Minokamo;Minokamo;Minokamo;;;;;;;;;x
PROV2772;Toyohashi;Toyohashi;Toyohashi;;;;;;;;;x
PROV2773;Shitara;Shitara;Shitara;;;;;;;;;x
PROV2774;Hamamatsu;Hamamatsu;Hamamatsu;;;;;;;;;x
PROV2775;Shizuoka;Shizuoka;Shizuoka;;;;;;;;;x
PROV2776;Numazu;Numazu;Numazu;;;;;;;;;x
PROV2777;Yokohama;Yokohama;Yokohama;;;;;;;;;x
PROV2778;Tokyo;Tokyo;Tokyo;;;;;;;;;x
PROV2779;Nanao;Nanao;Nanao;;;;;;;;;x
PROV2780;Toyama;Toyama;Toyama;;;;;;;;;x
PROV2781;Kanazawa;Kanazawa;Kanazawa;;;;;;;;;x
PROV2782;Nanto;Nanto;Nanto;;;;;;;;;x
PROV2783;Hokuto;Hokuto;Hokuto;;;;;;;;;x
PROV2784;Saku;Saku;Saku;;;;;;;;;x
PROV2785;Chichibu;Chichibu;Chichibu;;;;;;;;;x
PROV2786;Karuizawa;Karuizawa;Karuizawa;;;;;;;;;x
PROV2787;Oshima;Oshima;Oshima;;;;;;;;;x
PROV2788;Tateyama;Tateyama;Tateyama;;;;;;;;;x
PROV2789;Chiba;Chiba;Chiba;;;;;;;;;x
PROV2790;Sado;Sado;Sado;;;;;;;;;x
PROV2791;Nagaoka;Nagaoka;Nagaoka;;;;;;;;;x
PROV2792;Niigata;Niigata;Niigata;;;;;;;;;x
PROV2793;Aizuwakamatsu;Aizuwakamatsu;Aizuwakamatsu;;;;;;;;;x
PROV2794;Shibata;Shibata;Shibata;;;;;;;;;x
PROV2795;Hitachi;Hitachi;Hitachi;;;;;;;;;x
PROV2796;Nasushiobara;Nasushiobara;Nasushiobara;;;;;;;;;x
PROV2797;Iwaki;Iwaki;Iwaki;;;;;;;;;x
PROV2798;Fukushima;Fukushima;Fukushima;;;;;;;;;x
PROV2799;Sendai;Sendai;Sendai;;;;;;;;;x
PROV2800;Kesennuma;Kesennuma;Kesennuma;;;;;;;;;x
PROV2801;Morioka;Morioka;Morioka;;;;;;;;;x
PROV2802;Murakami;Murakami;Murakami;;;;;;;;;x
PROV2803;Sakata;Sakata;Sakata;;;;;;;;;x
PROV2804;Oga;Oga;Oga;;;;;;;;;x
PROV2805;Aomori;Aomori;Aomori;;;;;;;;;x
PROV2806;Hakodate;Hakodate;Hakodate;;;;;;;;;x
PROV2807;Kutchan;Kutchan;Kutchan;;;;;;;;;x
PROV2808;Muroran;Muroran;Muroran;;;;;;;;;x
PROV2809;Sapporo;Sapporo;Sapporo;;;;;;;;;x
PROV2810;Erimo;Erimo;Erimo;;;;;;;;;x
PROV2811;Obihiro;Obihiro;Obihiro;;;;;;;;;x
PROV2812;Kushiro;Kushiro;Kushiro;;;;;;;;;x
PROV2813;Nemuro;Nemuro;Nemuro;;;;;;;;;x
PROV2814;Mombetsu;Mombetsu;Mombetsu;;;;;;;;;x
PROV2815;Asahikawa;Asahikawa;Asahikawa;;;;;;;;;x
PROV2816;Wakkanai;Wakkanai;Wakkanai;;;;;;;;;x
PROV2817;Rumoi;Rumoi;Rumoi;;;;;;;;;x
PROV2818;Furano;Furano;Furano;;;;;;;;;x
