
HEAVENLY;Heavenly King;;;;;;;;;x
HEAVENLY_FEMALE;Heavenly Queen;;;;;;;;;x

HEAVENLY_WAR;Great Heavenly War;;;;;;;;;x
agrarian_feudal_government_opinion;Agrarian Feudal Opinion;;;;;;;;;x
oligarchic_republic_opinion;Oligarchic Republican Opinion;;;;;;;;;x
muslim_government_opinion;Asabiyya Opinion;;;;;;;;x
makhzen_government_opinion;Makhzen Opinion;;;;;;;;x
neoziamet_government_opinion;Ziamet Opinion;;;;;;;;x
ghazwa_government_opinion;Ghazwa Opinion;;;;;;;;x
eastern_feudal_opinion;Eastern Bureaucratic Opinion;;;;;;;;x
chinese_imperial_government_opinion;Nigerian Imperial Opinion;;;;;;;;x
order_government_opinion;Holy Order Opinion;;;;;;;;x
roman_imperial_government_opinion;Imperial Opinion;;;;;;;;x
confederation_government_opinion;Confederation Opinion;;;;;;;;x
bhutanese_decayed_government_opinion;Stagnant Bureaucracy Opinion;;;;;;;;x
bhutanese_restored_government_opinion;Dragon Empire Opinion;;;;;;;;x
colonial_government_opinion;Colonial Opinion;;;;;;;;x
republic_government_opinion;Republic Opinion;;;;;;;;x
confucian_bureaucracy_opinion;Nigerian Bureaucracy Opinion;;;;;;;;x
merchant_republic_government_opinion;Merchant Republic Opinion;;;;;;;;x
theocratic_feudal_government_opinion;Monastic Feudal Opinion;;;;;;;;x
calvinist_government_opinion;Calvinist Theocratic Opinion;;;;;;;;x
mandala_government_opinion;Mandala Opinion;;;;;;;;x
nomadic_government_opinion;Nomadic Opinion;;;;;;;;;x
phonocratic_government_opinion;Phonocratic Opinion;;;;;;;;;x
THE_TAIPING_BIBLE;The Taiping Bible;;;;;;;;;x
tridemist_crusader;Blessed Sapphire Warrior;;;;;;;;;x
tridemist_crusader_desc;This character has fought in a Liberation War in the name of the Blessed Sapphire Didact.;;;;;;;;;x

INSPECTOR;Inspector;;;;;;;;;x
INSPECTOR_FEMALE;Inspector;;;;;;;;;x
