#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Hellenic revival;;;;;;;;;;;;;;x
#nick_the_apostate;the Apostate;;;;;;;;;;;;;x
opinion_no_hellenic_state_religion;Did not establish a Hellenic state religion;N'a pas choisi l'hellùnisme comme religion d'ùtat;;;;;;;;;;;;x
opinion_no_forced_hellenic_state_religion;Did not enforce a Hellenic state religion;N'a pas forcù l'hellùnisme en tant que religion d'ùtat;;;;;;;;;;;;x
opinion_hellenic_state_religion;Established a Hellenic state religion;A ùtabli l'hellùnisme comme religion d'ùtat;;;;;;;;;;;;x
opinion_forced_hellenic_state_religion;Enforced a Hellenic state religion;A forcù l'hellùnisme comme religion d'ùtat;;;;;;;;;;;;x
opinion_adopted_hellenic_state_religion;Adopted the Hellenic state religion;A adoptù l'hellùnisme d'ùtat;;;;;;;;;;;;x
opinion_rejected_hellenic_state_religion;Rejected the Hellenic state religion;A rejetù l'hellùnisme d'ùtat;;;;;;;;;;;;x
ancrel_streamlined_court;Streamlined Court;;;;;;;;;;;;;x
ancrel_streamlined_court_desc;This character's court policies have recently been overhauled, streamlining the beaurocracy of the realm and making it more efficient.;;;;;;;;;;;;;x
ancrel_platonic_curriculum;Neoplatonic Curriculum;;;;;;;;;;;;;x
ancrel_platonic_curriculum_desc;A curriculum heavy in Neoplatonic Philosophy and emphasizing exploration of new ideas is currently in place at Universities in this province.;;;;;;;;;;;;;x
ancrel_imperial_chronicle;Imperial Chronicle;;;;;;;;;;;;;x
ancrel_imperial_chronicle_desc;A recently published chronicle of the last century of Imperial History has cast this character's rule in a positive light, giving them increased legitimacy in the eyes of the Empire.;;;;;;;;;;;;;x
hellenic.0.desc;A stuttering but brilliant teacher of philosophy from the University of Constantinople has approached you and offered their services as an advisor. However, some at court worry the professor's reverence for Plato borders on the heretical.\n\nWhat is your answer?;;;;;;;;;;;;;x
hellenic.0.a;The Empire could use wise council in this time of need.;;;;;;;;;;;;;x
hellenic.0.a.tt;The Philosopher joins your court.;;;;;;;;;;;;;x
hellenic.0.b;I need swords and coin, not words!;;;;;;;;;;;;;x
hellenic.0.b.tt;The professor of philosophy stays at the University.;;;;;;;;;;;;;x
hellenic.2.desc;The professor who petitioned to join your court, [From.GetFirstNameWithNick], has come to you with a request. [From.GetSheHeCap] wishes to be the next Hypatos Philosphon, the head of the University. "From this position I can better serve you and the Empire," [From.GetSheHe] says. The burghers will not like this interference in local affairs.;;;;;;;;;;;;;x
hellenic.2.a;I'm the [Root.GetTitle], the burghers will learn this.;;;;;;;;;;;;;x
hellenic.2.b;I can't involve myself in this.;;;;;;;;;;;;;x
hellenic.5.desc;You've been approached by [From.GetTitledFirstName]. "The priesthood is concerned with the curriculum proposed by [FromFrom.GetFirstName]. This Neoplatonic philosophy [FromFrom.GetSheHe] favors is steeped in ancient pagan teachings. I implore you to deal with this matter."\n\nWhat do you do?.;;;;;;;;;;;;;x
hellenic.5.a;I support [FromFrom.GetTitledFirstName]'s judgement!;;;;;;;;;;;;;x
hellenic.5.b;We need unity of faith in these dark times...;;;;;;;;;;;;;x
hellenic.7.desc;[From.GetFirstNameWithNick] seems excited as [From.GetSheHe] joins your council this morning. "I was translating another of [Root.GetRandomAncientThinker]'s texts last night and was struck with inspiration for some experiments. I'm not sure where this will lead, but I'm certain it will be of value to the Empire. Of course, it would require some funding...";;;;;;;;;;;;;x
hellenic.7.a;I look forward to seeing what you come up with.;;;;;;;;;;;;;x
hellenic.7.a.tt;[From.GetFirstNameWithNick] gets to work.;;;;;;;;;;;;;x
hellenic.7.b;I'm sorry, I simply can't spare the coin.;;;;;;;;;;;;;x
hellenic.8.desc;"As I suspected, the research has born fruit, my [Root.GetTitle]." [FromFrom.GetFirstNameWithNick] stands before your throne with bundles of schematics and formulae. "These results will improve our military.";;;;;;;;;;;;;x
hellenic.9.desc;"The research did not go where I expected, but I think the results will speak for themselves." [FromFrom.GetFirstNameWithNick] stands beside your desk with rolled up blueprints and maps, and several small crates of what appear to be trade goods. "The Economy can be improved somewhat, with the careful application of these results.";;;;;;;;;;;;;x
hellenic.10.desc;[FromFrom.GetFirstNameWithNick] stands before a stack of papers and notebooks in your council chamber, "I've compiled essays, translations, and several interesting interpretations of Imperial Law that, I believe, could be applied to some effect.";;;;;;;;;;;;;x
