EVTDESCJB2;[From.GetFirstName] was sacrificed to the cruel [FromFrom.Religion.GetName] gods! Accounts describe how [From.GetSheHe] was forcefully dragged screaming into a guillotine and beheaded by mad priests.;;;;;;;x
EVTOPTAJB2;How terrible!;;;;;;;x
EVTDESCJB3A;The judges of [FromFrom.GetFirstName] drag you to the sacred guillotine, they place you into the stocks, someone pulls the lever, and the blade cut off your head. Your last vision is Madame Guillotine with a smiling face.;;;;;;;x
EVTDESCJB3B;The priests of [FromFrom.GetFirstName] drag you to the their so called sacred guillotine, they place you into the stocks, someone pulls the lever, and the blade cut off your head, as your world fades away.;;;;;;;x
EVTOPTAJB3;I'm with you now, Madame Guillotine!;;;;;;;x
EVTOPTBJB3;[Root.Religion.GetRandomGodName], save me!;;;;;;;x
EVTDESCJB4A;The judges drag [From.GetFirstName] screaming to the sacred guillotine, they place [From.GetHerHim] into the stocks, pull the lever, and the blade cut off [From.GetHerHis] head. It falls into the basket with still rolling eyes to the cheers of the assembled crowd.;;;;;;;x
EVTDESCJB4B;The judges drag [From.GetFirstName] screaming to the sacred guillotine, they place [From.GetHerHim] into the stocks, then you pull the lever, and the blade cut off [From.GetHerHis] head. It falls into the basket and you raise it high to the cheers of the assembled crowd.;;;;;;;x
EVTDESCJB4C;The judges drag [From.GetFirstName] screaming to the sacred guillotine, they place [From.GetHerHim] into the stocks, then you pull the lever myself for the first time, and the blade cut off [From.GetHerHis] head. It falls into the basket and after a little hesitation you raise it high to the cheers of the assembled crowd.;;;;;;;x
EVTOPTAJB4;Eat, Madame Guillotine, eat!;;;;;;;x
EVTOPTBJB4;[Root.job_spiritual.GetFirstName], tell me what is the message of Madame Guillotine!;;;;;;;x
EVTOPTCJB4;Madame Guillotine, help me, I'm going to read your message!;;;;;;;x
EVTDESCJB5A;[message_reader.GetFirstName] takes out the head of [FromFrom.GetFirstName] from your hand, and begins to examine the blood drops in the basket. Everyone watches [message_reader.GetHerHim] silently for a few minutes then [message_reader.GetSheHe] suddenly rises [message_reader.GetHerHis] head and shouts "Madame Guillotine has nothing to tell us this time". The crowd murmurs then scatters.;;;;;;;x
EVTDESCJB5B;You keep holding the head of [FromFrom.GetFirstName], and begin to examine the blood drops in the basket. As everyone watches you silently, you try to figure out what the goddess want to say to us but can't find any of the holy patterns in the blood. Finally, when you can't make the people wait any longer, you raise your head and shout "Madame Guillotine has nothing to tell us this time". The crowd murmurs then scatters.;;;;;;;x
EVTOPTAJB5;This moron should be sacrificed too.;;;;;;;x
EVTOPTBJB5;Madame Guillotine, I have failed you!;;;;;;;x
EVTDESCJB6A;[message_reader.GetFirstName] begins to examine the blood drops in the basket. [message_reader.GetSheHeCap] doesn't move for a few minutes, then rises [message_reader.GetHerHis] head, and declares the message of the goddess: "Madame Guillotine desires those life who [Root.GetNewPreference]." [Root.GetCrownReaction];;;;;;;x
EVTDESCJB6B;You begin to examine the blood drops in the basket. You watch it for a few minutes, and recognise a few of the holy patterns in the blood. You rise your head and declare the message of the goddess: "Madame Guillotine desires those life who [Root.GetNewPreference]." [Root.GetCrownReaction];;;;;;;x
EVTOPTAJB6;Your wish is my command, Madame Guillotine!;;;;;;;x
EVTOPTBJB6;Your wish is my command, Madame Guillotine!;;;;;;;x
EVTOPTCJB6;I will propitiate you, Madame Guillotine!;;;;;;;x
EVTOPTDJB6;I will propitiate you, Madame Guillotine!;;;;;;;x
EVTOPTEJB6;I'm no foreteller, just a servant of yours, Madame Guillotine!;;;;;;;x
EVTOPTFJB6;I'm no foreteller, just a servant of yours, Madame Guillotine!;;;;;;;x
jacobinist_sacrifice_decision;Sacrifice to Madame Guillotine;;;;;;;x
jacobinist_sacrifice_decision_desc;[Root.GetBestName] will be sacrificed to Madame Guillotine.;;;;;;;x
EVTOPTAJB1;Oh no!;;;;;;;;;x
EVTOPTBJB1;For the Revolution!;;;;;;;;;x
EVTOPTCJB1;Who are these madmen?;;;;;;;;;x
EVTNAMEJB1;The Revolution Arrives;;;;;;;;;x
EVTOPTDJB1;Could they be right?;;;;;;;;;x
EVTDESCJB1;For centuries, an ancient belief system has existed in Europe, though it has usually existed underground in small cabals or among the heights of academia. These people, called 'The Jacobins', believe firmly that the Event was caused by Europe's loss of fervour in the worship of the great goddess, Madame Guillotine. Following the teachings of the Prophet Robespierre, they hold that Madame Guillotine must constantly be sated with fresh blood, lest mankind be punished with a second Event. For most of their existence they have been persecuted for their insane and dangerous beliefs, but in recent days a charismatic young preacher has managed to convince many that the Second Event is nigh, and that dramatic action is necessary to avert the End. Hidden Jacobinists have arisen from their caves to aid him, bolstered by an army of peasants drawn by his apparent mystical powers and charismatic preaching. They now seek to war against the whole world, in order to save it.;;;;;;;;;x
CB_NAME_JACOBIN_RISING;Jacobinist Rising;;;;;;;;;x
WAR_NAME_JACOBIN_RISING;Jacobinist Rising;;;;;;;;;x
jacobin_rising_desc;MADAME GUILLOTINE DEMANDS THE SPREAD OF THE REVOLUTION, OVERTHROW THE OLD ORDER!;;;;;;;;;x
d_jacobinist;The Comíte de Salut Publique;;;;;;;;;x
GOD_UNSEELIE;Unseelie Fae;;;;;;;;;x
DICTATOR;Dictateúr;;;;;;;;;x
DICTATOR_FEMALE;Dictatríce;;;;;;;;;x
DICTATOR_FOA;My Lord;;;;;;;;;x
STAT_PIETY_FREEDOM;Freedom;;;;;;;;;x
STAT_PIETY_DESC_FREEDOM;Freedom is a representation of the devotion of this character to Madame Guillotine and the Jacobinist faith, making him more respected especially by the clergy.;;;;;;;;;x
d_sans_culottes;Sans-Culottes;;;;;;;;;x
d_sans_culottes_adj;Sans-Culotte;;;;;;;;;x
CITIZEN_COMMANDER;Citizen-Commander;;;;;;;;;x
CITIZEN_COMMANDER_FOA;Comrade;;;;;;;;;x
EVTNAME_sans_creation;Aux Armes,Citizens!;;;;;;;;;x
EVTDESC_sans_creation;With the Jacobinist revolution in full swing, an enthusiastic group of peasants has taken up the cause of defending the faith. Uniting under a trained soldier,the group has taken to calling themselves the 'Sans-Culottes',after the legendary heroes who walked with the Prophet Robespierre and slew his enemies in ancient days.;;;;;;;;;x,,
EVTOPTA_sans_creation;Long live the Revolution!;;;;;;;;;x
EVTOPTB_sans_creation;Uppity peasants!;;;;;;;;;x
jacobinist_opinion;Jacobinist Opinion;;;;;;;;;x
jacobinist_havent_sacrificed;Madame Guillotine is thirsty!;;;;;;;;;x
JACOBINIST_HAVENT_SACRIFICED;Madame Guillotine is thirsty!;;;;;;;;;x
JACOBINIST_HASNT_SACRIFICED;Hasn't sacrificed to Madame Guillotine for a long time;;;;;;;;;x
JACOBINIST_GONNA_SACRIFICE_EM;You will sacrifice a few peasant to make the goddess content.;;;;;;;;;x
DEATH_EXECUTION_JACOBINIST_SACRIFICE;was fed to Madame Guillotine;;;;;;;;;x
madame_sacrifice_timer_1;Madame Guillotine Is Content;;;;;;;;;x
madame_sacrifice_timer_1_desc;You recently sacrificed to Madame Guillotine, therefore she is content for now.;;;;;;;;;x
jacobinist_sacrifice_peasant;Sacrifice Peasants;;;;;;;;;x
jacobinist_sacrifice_peasant_desc;Madame Guillotine wants regular sacrifices, but you haven't done it in a long time. You can sacrifice a few peasants and pay a small compensation to their family to satisfy her.;;;;;;;;;x
rise_of_jacobinism;The Rise of Jacobinism;;;;;;;;;x
DEATH_EXECUTION_JACUBINIST_SACRIFICE;was sacrificed to Madame Guillotine on the order of $KILLER$;;;;;;;;;x
