ussr_title;General Secretary;;;;;;;;;x
ussr_title_female;General Secretary;;;;;;;;;x
wonder_cathedral_sagrada_familia;Sagrada Familia;;;;;;;;;x
wonder_cathedral_sagrada_familia_desc;It's origin long lost to history, this antediluvian Cathedral has, for many centuries, been a magnificent home for Christian prayers.;;;;;;;;;x
wonder_synagogue_third_temple;Third Temple of Israel;;;;;;;;;x
wonder_synagogue_third_temple_desc;Spiritual center of Judaism and the home of the restored Jewish High Priesthood and their leader, the Cohen Gadol.;;;;;;;;;x
wonder_synagogue_third_temple_construction_desc;Spiritual center of Judaism and the home of the restored Jewish High Priesthood and their leader, the Cohen Gadol.;;;;;;;;;x
wonder_mosque_hagia_sophia;Hagia Sophia;;;;;;;;;x
wonder_mosque_hagia_sophia_desc;This Ancient Mosque, in fact begun it's existence as a Cathderal many centuries ago, but it now has been turned into a Mosque.;;;;;;;;;x
tooltip_feminist_liege_ATE_OW_religion:Liege follows a feminist religion;;;;;;;;;x
ussr_foa;General Secretary;;;;;;;;;x
custom_boom_region;Close to Deadlands;;;;;;;;;;x
THE_CODE;The Code;;;;;;x
thelemic_peasant_unrest;Thelemic Peasant Unrest;;;;;;;;;x
einblicker_peasant_unrest;Einblicker Peasant Unrest;;;;;;;;;x
ussr_prefix;Socialist Union of;;;;;;;;;x
montenegrin_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
serbian_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
bunjevci_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
croatian_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
bosnian_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
bulgarian_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
slovenian_FEATURES;§Y*§! Unless this character follows the §Y[jugoslavist.Religion.GetFullName]§! and §Y[titoist.Religion.GetFullName]§! Religions, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
leninist_opinion;[leninist.GetName] Opinion;;;;;;;;;x
osvicenism_opinion;[osvicenism.GetName] Opinion;;;;;;;;;x
basque_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
bedouin_arabic_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture group;;;;;;;;;x
hadramauti_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
hazar_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
afghan_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture;;;;;;;;;x
traveller_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture group;;;;;;;;;x
aeslabh_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture group;;;;;;;;;x
irish_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture group;;;;;;;;;x
high_irish_FEATURES;§Y*§! Characters of this culture will not live under the foreign yolk, they are more likely to start and join §Yindependence factions§! if liege is not of the same culture group;;;;;;;;;x
,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
##########################################
EVTDESC_CU_32;A community of Romani has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU32;They may stay.;;;;;;;;;;x
EVTOPTBCU32;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_33;As the population of the province has become majority romani, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU33;Okay.;;;;;;;;;;x
EVTDESC_CU_34;The minority romani population of your province has moved elsewhere, they may some day ask to return.;;;;;;;;;;x
EVTOPTACU34;Okay.;;;;;;;;;;x
cruelly_drove_out_minority;Cruelly drove out minority;;;;;;;;;;x
invite_local_romani;Invite local Romani Man;;;;;;;;;;x
invite_local_romani_woman;Invite local Romani woman;;;;;;;;;;x
invite_local_romani_desc;Invite a Romani man from your local Romani community.;;;;;;;;;;x
invite_local_romani_woman_desc;Invite a Romani woman from your local Romani community.;;;;;;;;;;x
romani_minority;Romani Minority;;;;;;;;;;x
########
EVTDESC_CU_35;A community of Domari has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU35;They may stay.;;;;;;;;;;x
EVTOPTBCU35;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_36;As the population of the province has become majority Domari, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU36;Okay.;;;;;;;;;;x
EVTDESC_CU_37;The minority Domari population of your province has moved elsewhere, they may some day ask to return.;;;;;;;;;;x
EVTOPTACU37;Okay.;;;;;;;;;;x
invite_local_domari;Invite local Domari Man;;;;;;;;;;x
invite_local_domari_woman;Invite local Domari woman;;;;;;;;;;x
invite_local_domari_desc;Invite a Domari man from your local Domari community.;;;;;;;;;;x
invite_local_domari_woman_desc;Invite a Domari woman from your local Domari community.;;;;;;;;;;x
domari_minority;Domari Minority;;;;;;;;;;x
########
EVTDESC_CU_38;A community of Travellers has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU38;They may stay.;;;;;;;;;;x
EVTOPTBCU38;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_39;As the population of the province has become majority Traveller, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU39;Okay.;;;;;;;;;;x
EVTDESC_CU_40;The minority Traveller population of your province has moved elsewhere, they may some day ask to return.;;;;;;;;;;x
EVTOPTACU40;Okay.;;;;;;;;;;x
invite_local_traveller;Invite local Traveller Man;;;;;;;;;;x
invite_local_traveller_woman;Invite local Traveller woman;;;;;;;;;;x
invite_local_traveller_desc;Invite a Traveller man from your local Traveller community.;;;;;;;;;;x
invite_local_traveller_woman_desc;Invite a Traveller woman from your local Traveller community.;;;;;;;;;;x
traveller_minority;Traveller Minority;;;;;;;;;;x
########
EVTDESC_CU_41;A community of Ashkenazis has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU41;They may stay.;;;;;;;;;;x
EVTOPTBCU41;Drive them from their homes!;;;;;;;;;;x
EVTDESC_CU_42;As the population of the province has become majority Ashkenazi, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU42;Okay.;;;;;;;;;;x
EVTDESC_CU_43;The minority Ashkenazi population of your province has declined to the point it is no longer of note, some day the Ashkenazi may resettle in your province.;;;;;;;;;;x
EVTOPTACU43;Okay.;;;;;;;;;;x
invite_local_ashkenazi;Invite local Ashkenazi Man;;;;;;;;;;x
invite_local_ashkenazi_woman;Invite local Ashkenazi woman;;;;;;;;;;x
invite_local_ashkenazi_desc;Invite an Ashkenazi man from your local Ashkenazi community.;;;;;;;;;;x
invite_local_ashkenazi_woman_desc;Invite an Ashkenazi woman from your local Ashkenazi community.;;;;;;;;;;x
ashkenazi_minority;Ashkenazi Minority;;;;;;;;;;x
########
EVTDESC_CU_45;A community of Israelis has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU45;They may stay.;;;;;;;;;;x
EVTOPTBCU45;Drive them from their homes!;;;;;;;;;;x
EVTDESC_CU_46;As the population of the province has become majority Israeli, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU46;Okay.;;;;;;;;;;x
EVTDESC_CU_47;The minority Israeli population of your province has declined to the point it is no longer of note, some day the Israeli may resettle in your province.;;;;;;;;;;x
EVTOPTACU47;Okay.;;;;;;;;;;x
invite_local_israeli;Invite local Israeli Man;;;;;;;;;;x
invite_local_israeli_woman;Invite local Israeli woman;;;;;;;;;;x
invite_local_israeli_desc;Invite an Israeli man from your local Israeli community.;;;;;;;;;;x
invite_local_israeli_woman_desc;Invite an Israeli woman from your local Israeli community.;;;;;;;;;;x
israeli_minority;Israeli Minority;;;;;;;;;;x
########
EVTDESC_CU_48;A community of Domba has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU48;They may stay.;;;;;;;;;;x
EVTOPTBCU48;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_49;As the population of the province has become majority Domba, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU49;Okay.;;;;;;;;;;x
EVTDESC_CU_50;The minority Domba population of your province has moved elsewhere, they may some day ask to return.;;;;;;;;;;x
EVTOPTACU50;Okay.;;;;;;;;;;x
invite_local_domba;Invite local Domba Man;;;;;;;;;;x
invite_local_domba_woman;Invite local Domba woman;;;;;;;;;;x
invite_local_domba_desc;Invite a Domba man from your local Domba community.;;;;;;;;;;x
invite_local_domba_woman_desc;Invite a Domba woman from your local Domba community.;;;;;;;;;;x
domba_minority;Domba Minority;;;;;;;;;;x
########
EVTDESC_CU_51;A community of Khon Jiin has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU51;They may stay.;;;;;;;;;;x
EVTOPTBCU51;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_52;As the population of the province has become majority Khon Jiin, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU52;Okay.;;;;;;;;;;x
EVTDESC_CU_53;The minority Khon Jiin population of your province has moved elsewhere, they may some day ask to return.;;;;;;;;;;x
EVTOPTACU53;Okay.;;;;;;;;;;x
invite_local_sinotai;Invite local Khon Jiin Man;;;;;;;;;;x
invite_local_sinotai_woman;Invite local Khon Jiin woman;;;;;;;;;;x
invite_local_sinotai_desc;Invite a Khon Jiin man from your local Khon Jiin community.;;;;;;;;;;x
invite_local_sinotai_woman_desc;Invite a Khon Jiin woman from your local Khon Jiin community.;;;;;;;;;;x
sinotai_minority;Khon Jiin Minority;;;;;;;;;;x
###########################################
EVTDESC_CU_54;A community of Cina has become established within your province, will you allow them to remain?;;;;;;;;;;x
EVTOPTACU54;They may stay.;;;;;;;;;;x
EVTOPTBCU54;Drive them from their camps and seize their goods!;;;;;;;;;;x
EVTDESC_CU_55;As the population of the province has become majority Cina, the minority community has melded into the wider population.;;;;;;;;;;x
EVTOPTACU55;Okay.;;;;;;;;;;x
