# Empire of Italy;;;;;;;;;;;;;;
k_italy;Piemonte;;;;;;;;;x
k_italy_adj;Piemontese;;;;;;;;;x
b_montecristo;Montecristo;;;;;;;;;x
b_montecristo_adj;Montecristo;;;;;;;;;x
b_myrina_2;Myrina;;;;;;;;;x
######;;;;;;;;;;;;;;
c_gegyaiii_adj;Gegyaiii;;;;;;;;;x
b_gegyai2;Gegyai;;;;;;;;;x
b_zhungpa2;Zhungpa;;;;;;;;;x
b_yakra2;Yakra;;;;;;;;;x
b_chuktsang2;Chuktsang;;;;;;;;;x
b_arkog2;Arkog;;;;;;;;;x
b_kelle2;Kelle;;;;;;;;;x
b_sekhadrig2;Sekhadrig;;;;;;;;;x
k_norf_gov;Governate of The Norf;;;;;;;;;x
k_norf_gov_adj;Norfer;;;;;;;;;x
k_wales_gov;Governate of The Welsh;;;;;;;;;x
k_wales_gov_adj;Welsh;;;;;;;;;x
d_north_dogger_isles;Northern Dogger Island;;;;;;;;;x
d_north_dogger_isles_adj;Northern Dogger Islander;;;;;;;;;x
c_ydreoer_adj;Ydreoerian;;;;;;;;;x
b_knudbjerg;Knudbjerg;;;;;;;;;x
b_stortrup;Stortrup;;;;;;;;;x
b_torli;Torli;;;;;;;;;x
b_karsa;Karsa;;;;;;;;;x
b_kouksa;Kouksa;;;;;;;;;x
b_lubele;Lubele;;;;;;;;;x
b_ussintio;Ussintio;;;;;;;;;x
b_karlhall;Karlhall;;;;;;;;;x
c_golan_adj;Golani;;;;;;;;;x
b_qatsrin;Qatsrin;;;;;;;;;x
b_ein_zivan;Ein Zivan;;;;;;;;;x
b_merom_golan;Merom Golan;;;;;;;;;x
b_yonatan;Yonatan;;;;;;;;;x
b_natur;Natur;;;;;;;;;x
b_haspin;Haspin;;;;;;;;;x
b_nov;Nov;;;;;;;;;x
b_afik;Afik;;;;;;;;;x
c_jezreel_adj;Jezreeli;;;;;;;;;x
b_nazareth;Nazareth;;;;;;;;;x
b_iksal;Iksal;;;;;;;;;x
b_daburiyya;Daburiyya;;;;;;;;;x
b_tiberias;Tiberias;;;;;;;;;x
b_afula;Afula;;;;;;;;;x
b_dovrat;Dovrat;;;;;;;;;x
b_mash_had;Mash'had;;;;;;;;;x
b_ein_mahil;Ein Mahil;;;;;;;;;x
c_haifa_adj;Haifan;;;;;;;;;x
b_haifa;Haifa;;;;;;;;;x
b_nesher;Nesher;;;;;;;;;x
b_rehasim;Rehasim;;;;;;;;;x
b_hadera;Hadera;;;;;;;;;x
b_hahotrim;Hahotrim;;;;;;;;;x
b_adi;Adi;;;;;;;;;x
b_nahalal;Nahalal;;;;;;;;;x
b_shimshit;Shimshit;;;;;;;;;x
c_al_balqa_ad;Al Balqi;;;;;;;;;x
b_al_salt;Al Salt;;;;;;;;;x
b_swemeh;Swemeh;;;;;;;;;x
b_karameh;Karameh;;;;;;;;;x
b_damia;Damia;;;;;;;;;x
b_dirar;Dirar;;;;;;;;;x
b_ma_addi;Ma'addi;;;;;;;;;x
b_zayy;Zayy;;;;;;;;;x
b_yarqa;Yarqa;;;;;;;;;x
k_galichia;Galichia;;;;;;;;;x
k_galichia_adj;Galichian;;;;;;;;;x
b_messini;Messini;;;;;;;;;x
b_charakas;Charakas;;;;;;;;;x
c_larnaca_adj;Larnacan;;;;;;;;;x
