#CODE;English;French;German;;Spanish;;;;;;;;;x

priest_vassal_angry;Temple vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
iqta_vassal_angry;Iqta vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
republic_vassal_angry;City vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
feudal_vassal_angry;Feudal vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
;;;;;;;;;;;;;;
convert_settlement_castle;Convert Holding to Castle;;;;;;;;;;;;;
convert_settlement_family_palace;Convert Holding to Palace;;;;;;;;;;;;;
;;;;;;;;;;;;;;
convert_settlement_castle_desc;I can convert this settlement to a castle, but some vassals won't like it.;;;;;;;;;;;;;
convert_settlement_family_palace_desc;I can convert this settlement to a Palace, but some vassals won't like it.;;;;;;;;;;;;;
