secret_religious_society_vajrayana;[GetReligiousCommunityName_vajrayana];[GetReligiousCommunityName_vajrayana];[GetReligiousCommunityName_vajrayana];;[GetReligiousCommunityName_vajrayana];;;;;;;;;x
secret_religious_society_vajrayana_desc;[GetReligiousSocietyDesc_vajrayana];[GetReligiousSocietyDesc_vajrayana];[GetReligiousSocietyDesc_vajrayana];;[GetReligiousSocietyDesc_vajrayana];;;;;;;;;x
secret_religious_society_vajrayana_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_vajrayana_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_vajrayana;The [vajrayana.GetName] Faithful;Fidèles [vajrayana.GetName]s;Die [vajrayana.GetName]en Gläubigen;;Creyentes [vajrayana.GetName]s;;;;;;;;;x
secretly_convert_to_vajrayana_holy_site;Secretly Convert to [vajrayana.GetName];Adopter en secret la foi [vajrayana.GetName];Heimlich zum [vajrayana.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [vajrayana.GetName];;;;;;;;;x
secretly_convert_to_vajrayana_holy_site_desc;The §Y[vajrayana.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[vajrayana.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[vajrayana.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[vajrayana.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_budaism;[GetReligiousCommunityName_budaism];[GetReligiousCommunityName_budaism];[GetReligiousCommunityName_budaism];;[GetReligiousCommunityName_budaism];;;;;;;;;x
secret_religious_society_budaism_desc;[GetReligiousSocietyDesc_budaism];[GetReligiousSocietyDesc_budaism];[GetReligiousSocietyDesc_budaism];;[GetReligiousSocietyDesc_budaism];;;;;;;;;x
secret_religious_society_budaism_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_budaism_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_budaism;The [budaism.GetName] Faithful;Fidèles [budaism.GetName]s;Die [budaism.GetName]en Gläubigen;;Creyentes [budaism.GetName]s;;;;;;;;;x
secretly_convert_to_budaism_holy_site;Secretly Convert to [budaism.GetName];Adopter en secret la foi [budaism.GetName];Heimlich zum [budaism.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [budaism.GetName];;;;;;;;;x
secretly_convert_to_budaism_holy_site_desc;The §Y[budaism.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[budaism.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[budaism.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[budaism.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_leninist;[GetReligiousCommunityName_leninist];[GetReligiousCommunityName_leninist];[GetReligiousCommunityName_leninist];;[GetReligiousCommunityName_leninist];;;;;;;;;x
secret_religious_society_leninist_desc;[GetReligiousSocietyDesc_leninist];[GetReligiousSocietyDesc_leninist];[GetReligiousSocietyDesc_leninist];;[GetReligiousSocietyDesc_leninist];;;;;;;;;x
secret_religious_society_leninist_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_leninist_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_leninist;The [leninist.GetName] Faithful;Fidèles [leninist.GetName]s;Die [leninist.GetName]en Gläubigen;;Creyentes [leninist.GetName]s;;;;;;;;;x
secretly_convert_to_leninist_holy_site;Secretly Convert to [leninist.GetName];Adopter en secret la foi [leninist.GetName];Heimlich zum [leninist.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [leninist.GetName];;;;;;;;;x
secretly_convert_to_leninist_holy_site_desc;The §Y[leninist.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[leninist.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[leninist.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[leninist.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_osvicenism;[GetReligiousCommunityName_osvicenism];[GetReligiousCommunityName_osvicenism];[GetReligiousCommunityName_osvicenism];;[GetReligiousCommunityName_osvicenism];;;;;;;;;x
secret_religious_society_osvicenism_desc;[GetReligiousSocietyDesc_osvicenism];[GetReligiousSocietyDesc_osvicenism];[GetReligiousSocietyDesc_osvicenism];;[GetReligiousSocietyDesc_osvicenism];;;;;;;;;x
secret_religious_society_osvicenism_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_osvicenism_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_osvicenism;The [osvicenism.GetName] Faithful;Fidèles [osvicenism.GetName]s;Die [osvicenism.GetName]en Gläubigen;;Creyentes [osvicenism.GetName]s;;;;;;;;;x
secretly_convert_to_osvicenism_holy_site;Secretly Convert to [osvicenism.GetName];Adopter en secret la foi [osvicenism.GetName];Heimlich zum [osvicenism.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [osvicenism.GetName];;;;;;;;;x
secretly_convert_to_osvicenism_holy_site_desc;The §Y[osvicenism.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[osvicenism.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[osvicenism.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[osvicenism.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_easternprotestant;[GetReligiousCommunityName_easternprotestant];[GetReligiousCommunityName_easternprotestant];[GetReligiousCommunityName_easternprotestant];;[GetReligiousCommunityName_easternprotestant];;;;;;;;;x
secret_religious_society_easternprotestant_desc;[GetReligiousSocietyDesc_easternprotestant];[GetReligiousSocietyDesc_easternprotestant];[GetReligiousSocietyDesc_easternprotestant];;[GetReligiousSocietyDesc_easternprotestant];;;;;;;;;x
secret_religious_society_easternprotestant_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_easternprotestant_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_easternprotestant;The [easternprotestant.GetName] Faithful;Fidèles [easternprotestant.GetName]s;Die [easternprotestant.GetName]en Gläubigen;;Creyentes [easternprotestant.GetName]s;;;;;;;;;x
secretly_convert_to_easternprotestant_holy_site;Secretly Convert to [easternprotestant.GetName];Adopter en secret la foi [easternprotestant.GetName];Heimlich zum [easternprotestant.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [easternprotestant.GetName];;;;;;;;;x
