String_Pretender_Caliph;Pretender-Caliph;;;;;;;x
String_Antipope;Antipope;;;;;;;x
String_CrownDefaultReaction;The crowd praises the goddess and slowly scatters.;;;;;;;x
String_CrownBadReaction;The crowd murmurs as my sacrifice wasn't goddess' liking then quickly scatters.;;;;;;;x
String_CrownGoodReaction;The crowd exults because my sacrifice was the goddess' liking, and stays there for hours.;;;;;;;x
String_NewPreference_Strong;have exceptional muscles can rise the flag of the Republic single-handedly;;;;;;;x
String_NewPreference_Weak;can't lift an empty barrel and would be a shame under the banner of the Democracy;;;;;;;x
String_NewPreference_Smart;twist thoughts like Voltaire and know things;;;;;;;x
String_NewPreference_Dumb;rarely have their own thoughts and are doomed to not have a clear understanding of the World;;;;;;;x
String_NewPreference_Virtue;are rich in virtues and follow the way of [Root.Religion.GetScriptureName] wholeheartedly;;;;;;;x
String_NewPreference_Vice;commit sins by passion and serve [Root.Religion.GetRandomEvilGodName] every way they can;;;;;;;x
String_NewPreference_Attractive;are chased for their look and never need to wear a wig;;;;;;;x
String_NewPreference_Unattractive;never get love because their look and can't be helped by one or two new dresses;;;;;;;x
String_NewPreference_Diplomacy;control the power of persuasion and can succeed in the accusation of anyone;;;;;;;x
String_NewPreference_Martial;make thousands follow themselves and lead armies like Robespierre himself;;;;;;;x
String_NewPreference_Learning;surround themselves with books and know the works of Voltaire by heart;;;;;;;x
String_NewPreference_Intrigue;exchange secret letters and keep them in hidden drawers;;;;;;;x
String_NewPreference_Stewardship;speak the language of coins and always know where to get a new horse for a good price;;;;;;;x
String_NewPreference_Young;still needs their mother and aren't aware of the cruelty of the world yet;;;;;;;x
String_NewPreference_Old;got grey and survived many other who fallen;;;;;;;x
String_NewPreference_Christian;think one could escape from the goddess' stomach, and return to this world;;;;;;;x
String_NewPreference_Esoteric;praise the imaginary gods created by a mystical drug addict;;;;;;;x
String_NewPreference_Pagan_Group;abandon the goddess's church for their local gods;;;;;;;x
String_NewPreference_Jewish_Group;wait for their messiah, thinking he can save them from the goddess' will;;;;;;;x
String_NewPreference_Pirate;believe taking anything other than someone's life is a sacred duty;;;;;;;x
String_NewPreference_Muslim;think calling somebody the greatest isn't an insult to the true goddess;;;;;;;x
String_NewPreference_Indian_Group;classify themself with other terms than dead and will-be-dead;;;;;;;x
String_NewPreference_Buddhist_Group;think an empty life is any better in the eyes of the goddess than a full;;;;;;;x
String_NewPreference_Zoroastrian_Group;think there's a good force who fights the endless evil;;;;;;;x
String_NewPreference_Communist;praise the stars which are as red as their blood;;;;;;;x
String_NewPreference_Zarist;serve the tzars, the rulers already eaten by the goddess;;;;;;;x
String_NewPreference_Nobelian;think they can survive the Second Event with invention made before the first;;;;;;;x
String_NewPreference_Ironist;believe that there are divine objects made by steel, other than the goddess' teeth;;;;;;;x
String_NewPreference_Khanist;believe their god could be trapped by someone other then the goddess;;;;;;;x
String_NewPreference_Jacobinist;follow the goddess and need to see her as soon as possible;;;;;;;x
String_NewPreference_Female;can give birth therefore bring new souls for the goddess' plate;;;;;;;x
String_NewPreference_Male;are born strong, only to get killed by the stronger;;;;;;;x
String_Revolutionary;Revolutionary;;;;;;;x
String_Free;Free;;;;;;;x
String_Religion;[This.Religion.GetName];;;;;;;x
String_Peoples;People's;;;;;;;x
String_Tzar_Peter;Peter the Greatest;;;;;;x
String_Tzar_Nicholas;Nicholas the Passion-Bearer;;;;;;x
String_Tzar_Ivan;Ivan the Formidable;;;;;;x
String_Tzar_Catherine;Catherine the Tzarina;;;;;;x
String_Tzar_Alexander;Alexander the Liberator;;;;;;x
String_Tzar_Alexis;Alexis the Quietest;;;;;;x
String_Emulation_Studies;bury yourself in books;;;;;;x
String_Emulation_Cilice;wear a cilice;;;;;;x
String_GetEmulatedTzar;[This.GetEmulatedTzar];;;;;;x
String_GetEmulatedPassage;[This.GetEmulatedPassage];;;;;;x
String_Passage_Exodus;Exodus 20:3;;;;;;x
String_Passage_Luke;Luke 6:35;;;;;;x
String_Passage_Ephesians;Ephesians 6:11;;;;;;x
String_Passage_Corinthians;1 Corinthians 6:19;;;;;;x
String_Passage_Galatians;Galatians 6:9;;;;;;x
String_Passage_Hebrews;Hebrews 4:12;;;;;;x
String_Passage_Psalm;Psalm 72;;;;;;x
String_A_Bolsevik;a bolsevik;;;;;;x
String_A_Tzar;a tzarevich;;;;;;x
String_An_Angel;an angel;;;;;;x
String_A_Demon;a demon;;;;;;x
String_An_Apostle;an apostle;;;;;;x
String_Slaps;slaps you on the face;;;;;;x
String_Kneels;kneels before you;;;;;;x
String_Undresses;begins to undress;;;;;;x
String_Plays_BG;starts to play a boardgame;;;;;;x
String_stahonovist;stahonovist;;;;;;x
String_dread_pirate;dread pirate;;;;;;x
String_Stahonovist_Cap;Stahonovist;;;;;;x
String_Dread_Pirate_Cap;Dread Pirate;;;;;;x
String_GetRandomMythologicalCreature;a [This.GetRandomMythologicalCreature];;;;;;x
String_the_Angel_of_death;the Angel of Death;;;;;;;;;;;;;x
String_Babylon;Babylon;;;;;;;;;;;;;x
String_Unk_Cekula;Unk Cekula;;;;;;;;;;;;;x
String_Hela;Hela;;;;;;;;;;;;;x
String_Benedict_Arnold;Benedict Arnold;;;;;;;;;;;;;x
String_Marx;Marx;;;;;;;;;;;;;x
String_Xolotl;Xolotl;;;;;;;;;;;;;x
String_Moloch;Moloch;;;;;;;;;;;;;x
String_Davy_Jones;Davy Jones;;;;;;;;;;;;;x
String_Haunter_of_the_dark;Haunter of the Dark;;;;;;;;;;;;;x
String_tsarism;Tsarism;;;;;;;;;;;;;x
String_fluoridation;fluoridation;;;;;;;;;;;;;x
String_sustainability;sustainability;;;;;;;;;;;;;x
String_marksmanship;marksmanship;;;;;;;;;;;;;x
String_cremation;cremation;;;;;;;;;;;;;x
String_charity;charity;;;;;;;;;;;;;x
String_stuart;Stuart;;;;;;;;;;;;;x
String_skrull;skrull;;;;;;;;;;;;;x
String_wendigo;wendigo;;;;;;;;;;;;;x
String_blue_helmet;blue helmet;;;;;;;;;;;;;x
String_blue_helmets;blue helmets;;;;;;;;;;;;;x
String_rainbow_warrior;rainbow warrior;;;;;;;;;;;;;x
String_Tzitzimitl;Tzitzimitl;;;;;;;;;;;;;x
String_owl;owl;;;;;;;;;;;;;x
String_hybrid;hybrid;;;;;;;;;;;;;x
String_romanovs;Romanovs;;;;;;;;;;;;;x
String_skrulls;skrulls;;;;;;;;;;;;;x
String_wendigos;wendigos;;;;;;;;;;;;;x
String_loyalists;loyalists;;;;;;;;;;;;;x
String_feds;feds;;;;;;;;;;;;;x
String_rainbow_warriors;rainbow warriors;;;;;;;;;;;;;x
String_Tzitzimimeh;Tzitzimimeh;;;;;;;;;;;;;x
String_owls;owls;;;;;;;;;;;;;x
String_hybrids;hybrids;;;;;;;;;;;;;x
String_jacobite;Jacobite;;;;;;;;;;;;;x
String_tsarist;Tsarist;;;;;;;;;;;;;x
String_socialist;socialist;;;;;;;;;;;;;x
String_inspector;inspector;;;;;;;;;;;;;x
String_conquistador;conquistador;;;;;;;;;;;;;x
String_conquistadora;conquistadora;;;;;;;;;;;;;x
String_bohemian;bohemian;;;;;;;;;;;;;x
String_rogue;rogue;;;;;;;;;;;;;x
String_dark_cultist;dark cultist;;;;;;;;;;;;;x
String_jacobites;Jacobites;;;;;;;;;;;;;x
String_romanovs;Romanovs;;;;;;;;;;;;;x
String_socialists;socialists;;;;;;;;;;;;;x
String_inspectors;inspectors;;;;;;;;;;;;;x
String_conquistadors;conquistador;;;;;;;;;;;;;x
String_conquistadoras;conquistadora;;;;;;;;;;;;;x
String_bohemians;bohemians;;;;;;;;;;;;;x
String_rogues;rogues;;;;;;;;;;;;;x
String_dark_cultists;dark cultists;;;;;;;;;;;;;x
String_Glory_to_the_Adversary;Glory to the Adversary!;;;;;;;;;;;;;x
String_Glory_to_the_Angel_of_Death;Glory to the Angel of Death!;;;;;;;;;;;;;x
String_Glory_to_Babylon;Glory to Babylon!;;;;;;;;;;;;;x
String_Glory_to_the_Rightful_Monarch;Glory to the Rightful Monarch;;;;;;;;;;;;;x
String_Glory_to_Unk_Cekula;Glory to Unk Cekula!;;;;;;;;;;;;;x
String_Glory_to_Hela;Glory to Hela!;;;;;;;;;;;;;x
String_Glory_to_the_Supreme_Being;Glory to the Supreme Being!;;;;;;;;;;;;;x
String_Glory_to_The_New_World_Order;Glory to the New World Order!;;;;;;;;;;;;;x
String_Glory_to_Gore;Glory to Gore!;;;;;;;;;;;;;x
String_Glory_to_Xolotl;Glory to Xolotl!;;;;;;;;;;;;;x
String_Glory_to_Moloch;Glory to Moloch!;;;;;;;;;;;;;x
String_Glory_to_Davy_Jones;Glory to Davy Jones!;;;;;;;;;;;;;x
String_Glory_to_Flagg;Glory to Flagg!;;;;;;;;;;;;;x
String_SuperSkrull;Super-Skrull;;;;;;;;;;;;;x
String_the_Supreme_Being;The Supreme Being;;;;;;;;;;;;;x
String_Skinwalker;Skinwalker;;;;;;;;;;;;;x
String_Dzoavits;Dzoavits;;;;;;;;;;;;;x
String_Baykok;Baykok;;;;;;;;;;;;;x
String_Kee_wakw;Kee-wakw;;;;;;;;;;;;;x
String_King_James;King James;;;;;;;;;;;;;x
String_King_Charles;King Charles;;;;;;;;;;;;;x
String_Yekaterina;Yekaterina;;;;;;;;;;;;;x
String_Nikolay;Nikolay;;;;;;;;;;;;;x
String_The_Supreme_Being;The Supreme Being;;;;;;;;;;;;;x
String_The_Freemasons;The Freemasons;;;;;;;;;;;;;x
String_Colelectli;Colelectli;;;;;;;;;;;;;x
String_El_Chupacabra;El Chupacabra;;;;;;;;;;;;;x
String_Wayob;Wayob;;;;;;;;;;;;;x
String_Nagual;Nagual;;;;;;;;;;;;;x
String_Baphomet;Baphomet;;;;;;;;;;;;;x
