e_commonwealth;Commonwealth;Commonwealth;Commonwealth;;Commonwealth;;;;;;;;;x
e_commonwealth_adj;Commonwealth;Commonwealth;Commonwealth;;Commonwealth;;;;;;;;;x
e_ottoman;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x
e_ottoman_adj;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x
e_yugoslavia;Yugoslavia;Yugoslavia;Yugoslavia;;Yugoslavia;;;;;;;;;x
e_yugoslavia_adj;Yugoslaviaian;Yugoslaviaien;Yugoslaviaier;;Yugoslaviaiano;;;;;;;;;x
e_benelux;Benelux;Benelux;Benelux;;Benelux;;;;;;;;;x
e_benelux_adj;Beneluxian;Beneluxien;Beneluxier;;Beneluxiano;;;;;;;;;x
e_numenor;Númenor;;;;;;;;;x
e_numenor_adj;Númenórean;;;;;;;;;x
e_mughalstan;Mughalstan;;;;;;;;;x
e_mughalstan_adj;Mughal;;;;;;;;;x
k_title;Title;Title;Title;;Title;;;;;;;;;x
k_title_adj;Title;Title;Title;;Title;;;;;;;;;x
k_catalonia;Catalonia;Catalonia;Catalonia;;Catalonia;;;;;;;;;x
k_catalonia_adj;Cataloniaian;Cataloniaien;Cataloniaier;;Cataloniaiano;;;;;;;;;x
k_galicia_y_asturias;Galicia y Asturias;Galicia y Asturias;Galicia y Asturias;;Galicia y Asturias;;;;;;;;;x
k_galicia_y_asturias_adj;Galician;Galicaien;Galicaier;;Galiciaiano;;;;;;;;;x
k_catalunia;Catalonia;Catalonia;Catalonia;;Catalonia;;;;;;;;;x
k_catalunia_adj;Cataloniaian;Cataloniaien;Cataloniaier;;Cataloniaiano;;;;;;;;;x
k_basque;Basque;Basque;Basque;;Basque;;;;;;;;;x
k_basque_adj;Basqan;Basqueien;Basqueier;;Basqueiano;;;;;;;;;x
k_switzerland;Switzerland;Switzerland;Switzerland;;Switzerland;;;;;;;;;x
k_switzerland_adj;Swiss;Swissien;Swissier;;Swissiano;;;;;;;;;x
k_lichtenstein;Lichtenstein;Lichtenstein;Lichtenstein;;Lichtenstein;;;;;;;;;x
k_lichtenstein_adj;Lichtensteinian;Lichtensteinien;Lichtensteinier;;Lichtensteiniano;;;;;;;;;x
k_holland;Holland;Holland;Holland;;Holland;;;;;;;;;x
k_holland_adj;Dutch;Dutch;Dutch;;Dutch;;;;;;;;;x
k_slovakia;Slovakia;;;;;;;;;x
k_slovakia_ad;Slovakian;;;;;;;;;x
k_belgium;Belgium;Belgium;Belgium;;Belgium;;;;;;;;;x
k_belgium_adj;Belgian;Belgian;Belgian;;Belgian;;;;;;;;;x
k_luxemburg;Luxemburg;Luxemburg;Luxemburg;;Luxemburg;;;;;;;;;x
k_luxemburg_adj;Luxemburgian;Luxemburgian;Luxemburgian;;Luxemburgian;;;;;;;;;x
k_remove_kebab;Serbia;Serbia;Serbia;;Serbia;;;;;;;;;x
k_remove_kebab_adj;Serbian;Serbiaien;Serbiaier;;Serbiaiano;;;;;;;;;x
k_slovenia;Slovenia;Slovenia;Slovenia;;Slovenia;;;;;;;;;x
k_slovenia_adj;Slovenian;Sloveniaien;Sloveniaier;;Sloveniaiano;;;;;;;;;x
k_chorwatia;Croatia;Croatia;Croatia;;Croatia;;;;;;;;;x
k_chorwatia_adj;Croatian;Croatiaien;Croatiaier;;Croatiaiano;;;;;;;;;x
k_bosnai;Bosnia & Hertzegowina;Bosnia & Hertzegowina;Bosnia & Hertzegowina;;Bosnia & Hertzegowina;;;;;;;;;x
k_bosnai_adj;Bosnian;Bosniaien;Bosniaier;;Bosniaiano;;;;;;;;;x
k_britannia;Britain;Britain;Britain;;Britain;;;;;;;;;x
k_britannia_adj;British;British;British;;British;;;;;;;;;x
