BM_WESTERN_EUROPE_ERA;Western Europe;;;;;;;;;;;;;x
BM_WESTERN_EUROPE_ERA_INFO;Western Europe;;;;;;;;;;;;;x
BM_CENTRAL_EUROPE_ERA;Central Europe;;;;;;;;;;;;;x
BM_CENTRAL_EUROPE_ERA_INFO;Central Europe;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660315;SSASS;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660914;SSASS;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660523;SSASS;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660149;SSASS;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660213;SSASS;;;;;;;;;;;;;x
ERA_CHAR_INFO_26660530;SSASS;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661202;Aragorn Bonaparte;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661129;Robert Spatstone;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661219;Erik Leroux;;;;;;;;;;;;;x
ERA_CHAR_NAME_26664161;Franz Klosters;;;;;;;;;;;;;x
ERA_CHAR_NAME_26660315;Peter II Posas;;;;;;;;;;;;;x
ERA_CHAR_NAME_26660914;Sancho VII Aguirre;;;;;;;;;;;;;x
ERA_CHAR_NAME_26664043;Wilhellm Zollern;;;;;;;;;;;;;x
ERA_CHAR_NAME_26664042;Torben Audi;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661504;Vittorio Saragat;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661129;Robert Spatstone;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661129;Robert Spatstone;;;;;;;;;;;;;x
ERA_CHAR_NAME_26661129;Robert Spatstone;;;;;;;;;;;;;x
