temple_baron_folklorist;Witcher;;;;;;;;;;;;;x,,,,,,,,,,,
temple_baron_folklorist_reformed;Witcher;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_folklorist;School;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_folklorist_reformed;School;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_of_folklorist;School of;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_of_folklorist_reformed;School of;;;;;;;;;;;;;x,,,,,,,,,,,

temple_baron_novelist;Librarian;;;;;;;;;;;;;x,,,,,,,,,,,
temple_baron_novelist_reformed;Librarian;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_novelist;Library;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_novelist_reformed;Library;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_of_novelist;Library of;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_of_novelist_reformed;Library of;;;;;;;;;;;;;x,,,,,,,,,,,

temple_count_novelist;Great Librarian;;;;;;;;;;;;;x,,,,,,,,,,,
temple_count_novelist_reformed;Great Librarian;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_novelist;Great Library;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_novelist_reformed;Great Library;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_of_novelist;Great Library of;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_of_novelist_reformed;Great Library of;;;;;;;;;;;;;x,,,,,,,,,,,

temple_baron_stalinist;Comissar;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_stalinist;Comissariate;;;;;;;;;;;;;x,,,,,,,,,,,
temple_barony_of_stalinist;Comissariate of;;;;;;;;;;;;;x,,,,,,,,,,,

temple_count_stalinist;Archcomissar;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_stalinist;Archcomissariate;;;;;;;;;;;;;x,,,,,,,,,,,
temple_county_of_stalinist;Archcomissariate of;;;;;;;;;;;;;x,,,,,,,,,,,
