gov_calvinist;Calvinist Theocracy;;;;;;;;;x
gov_decayed_bhutan;Decayed Bureaucracy;;;;;;;;;x
gov_restored_bhutan;Dragon Empire;;;;;;;;;x
gov_liechtenstin;Calvinist Grand Principality;;;;;;;;;x
gov_fake_republic;Oligarchic Republic;;;;;;;;;x
gov_soviet_republic;Stalinist Republic;;;;;;;;;x
gov_ssr;Stalinist SSR;;;;;;;;;x
gov_cccp;Dictatorship of the Proletariat;;;;;;;;;x
gov_murderepublic;Revolutionary Republique;;;;;;;;;x
gov_murder_comitee;Revolutionary Dictatorship;;;;;;;;;x
gov_british_colonial;British Colonial Expedition;;;;;;;;;x
